population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,1,Global,2,Female,9,20-24 years,404,Acute hepatitis E,1,Number,2023,127046.96164819563,177175.60208665463,77483.211099716
1,All Population,5,Prevalence,1,Global,1,Male,10,25-29 years,404,Acute hepatitis E,1,Number,2023,133124.68655670228,196600.99125532707,78540.73490791413
1,All Population,5,Prevalence,1,Global,2,Female,10,25-29 years,404,Acute hepatitis E,1,Number,2023,118949.65435528882,180419.05082947048,69862.39368160168
1,All Population,5,Prevalence,1,Global,1,Male,11,30-34 years,404,Acute hepatitis E,1,Number,2023,132667.99756910125,191067.09948073133,73315.77877376621
1,All Population,5,Prevalence,1,Global,2,Female,11,30-34 years,404,Acute hepatitis E,1,Number,2023,115899.88966688534,171221.86820091604,61413.83646307208
1,All Population,5,Prevalence,1,Global,1,Male,12,35-39 years,404,Acute hepatitis E,1,Number,2023,129305.541231778,184437.6845638053,77327.78782162377
1,All Population,5,Prevalence,1,Global,2,Female,12,35-39 years,404,Acute hepatitis E,1,Number,2023,112019.7561678242,166221.11416490516,66320.65146986218
1,All Population,5,Prevalence,1,Global,1,Male,13,40-44 years,404,Acute hepatitis E,1,Number,2023,111704.17403228147,163604.7977932272,66221.2667699142
1,All Population,5,Prevalence,1,Global,2,Female,13,40-44 years,404,Acute hepatitis E,1,Number,2023,97379.0443323308,148669.8933675865,55794.56794483547
1,All Population,5,Prevalence,1,Global,1,Male,14,45-49 years,404,Acute hepatitis E,1,Number,2023,100590.24813283884,149572.57778431097,54763.953064558526
1,All Population,5,Prevalence,1,Global,2,Female,14,45-49 years,404,Acute hepatitis E,1,Number,2023,89906.64430782363,140004.19948795784,46939.34491272899
1,All Population,5,Prevalence,1,Global,1,Male,15,50-54 years,404,Acute hepatitis E,1,Number,2023,96966.82566900768,139341.5520681709,54633.75808175228
1,All Population,5,Prevalence,1,Global,2,Female,15,50-54 years,404,Acute hepatitis E,1,Number,2023,90427.0195813784,136122.62614539173,49597.60043259874
1,All Population,5,Prevalence,1,Global,1,Male,16,55-59 years,404,Acute hepatitis E,1,Number,2023,88827.67945900066,136353.68786210057,51880.85003571694
1,All Population,5,Prevalence,1,Global,2,Female,16,55-59 years,404,Acute hepatitis E,1,Number,2023,88393.18625829415,137543.92663037768,50837.52199400262
1,All Population,5,Prevalence,1,Global,1,Male,17,60-64 years,404,Acute hepatitis E,1,Number,2023,71668.46929657675,106683.06369951992,41972.06576267357
1,All Population,5,Prevalence,1,Global,2,Female,17,60-64 years,404,Acute hepatitis E,1,Number,2023,73645.9087787558,111071.98611341104,43503.21724494859
1,All Population,5,Prevalence,1,Global,1,Male,18,65-69 years,404,Acute hepatitis E,1,Number,2023,59809.955145999695,87132.78371404721,34062.3203197189
1,All Population,5,Prevalence,1,Global,2,Female,18,65-69 years,404,Acute hepatitis E,1,Number,2023,63758.23565816995,94874.46232330838,35423.09950991999
1,All Population,5,Prevalence,1,Global,1,Male,19,70-74 years,404,Acute hepatitis E,1,Number,2023,43450.47551031711,63299.4762598603,24452.82608500024
1,All Population,5,Prevalence,1,Global,2,Female,19,70-74 years,404,Acute hepatitis E,1,Number,2023,48913.41223573289,72044.19626132786,27160.767614934528
1,All Population,5,Prevalence,1,Global,1,Male,20,75-79 years,404,Acute hepatitis E,1,Number,2023,25882.028339066943,40378.495224464416,14847.169670282708
1,All Population,5,Prevalence,1,Global,2,Female,20,75-79 years,404,Acute hepatitis E,1,Number,2023,30763.556828975437,48897.59838259479,17176.05990909228
1,All Population,5,Prevalence,1,Global,1,Male,30,80-84 years,404,Acute hepatitis E,1,Number,2023,15317.085106156772,24045.631906401595,8672.569776064927
1,All Population,5,Prevalence,1,Global,2,Female,30,80-84 years,404,Acute hepatitis E,1,Number,2023,20675.305021584605,33699.50013055288,11676.119569694363
1,All Population,5,Prevalence,1,Global,1,Male,31,85-89 years,404,Acute hepatitis E,1,Number,2023,7993.522804967592,12299.531855686557,4394.946598070136
1,All Population,5,Prevalence,1,Global,2,Female,31,85-89 years,404,Acute hepatitis E,1,Number,2023,12936.441748538056,20619.636116780675,6860.248375333875
1,All Population,5,Prevalence,1,Global,1,Male,32,90-94 years,404,Acute hepatitis E,1,Number,2023,2850.2801592231067,4201.989458298623,1621.8765125718764
1,All Population,5,Prevalence,1,Global,2,Female,32,90-94 years,404,Acute hepatitis E,1,Number,2023,5721.164237012442,8533.376041338417,3232.241357189077
